2012-09-05T20:11:23.555648Z | client | INFO | Writing detailed log to resync-client.log
2012-09-05T20:11:23.556201Z | client | DEBUG | Starting sync
2012-09-05T20:11:23.556464Z | client | INFO | Reading sitemap http://localhost:8888/sitemap.xml
2012-09-05T20:11:23.745786Z | sitemap | INFO | Read sitemap/sitemapindex from http://localhost:8888/sitemap.xml
2012-09-05T20:11:23.890747Z | sitemap | INFO | Parsing as sitemap
2012-09-05T20:11:24.094726Z | client | DEBUG | Finished reading sitemap
2012-09-05T20:11:24.094857Z | client | INFO | Read source inventory, 1000 resources listed
2012-09-05T20:11:24.095159Z | inventory_builder | INFO | Scanning disk for Map( http://localhost:8888 -> /tmp/sm )
2012-09-05T20:11:24.105372Z | client | WARNING | Status: NOT IN SYNC (same=0, updated=0, deleted=0, created=1000)
2012-09-05T20:11:24.125947Z | client | INFO | created: http://localhost:8888/resources/1 -> /tmp/sm/resources/1
2012-09-05T20:11:24.129841Z | client | DEBUG | Event: {'size': 268, 'timestamp': 1346875774.916375, 'basename': '1', 'uri': 'http://localhost:8888/resources/1', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.916375Z', 'changetype': 'CREATED', 'md5': 'EWnIkzLKkXZSYXJQrpFHeQ=='}
2012-09-05T20:11:24.129994Z | client | INFO | created: http://localhost:8888/resources/10 -> /tmp/sm/resources/10
2012-09-05T20:11:24.132577Z | client | DEBUG | Event: {'size': 186, 'timestamp': 1346875774.919112, 'basename': '10', 'uri': 'http://localhost:8888/resources/10', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919112Z', 'changetype': 'CREATED', 'md5': 'R5Ipda4oT5+E032kwaZuqw=='}
2012-09-05T20:11:24.132737Z | client | INFO | created: http://localhost:8888/resources/100 -> /tmp/sm/resources/100
2012-09-05T20:11:24.135595Z | client | DEBUG | Event: {'size': 219, 'timestamp': 1346875774.936867, 'basename': '100', 'uri': 'http://localhost:8888/resources/100', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.936867Z', 'changetype': 'CREATED', 'md5': 'qOBRUNE8WdOs4Z9ZXiRJXQ=='}
2012-09-05T20:11:24.135757Z | client | INFO | created: http://localhost:8888/resources/1000 -> /tmp/sm/resources/1000
2012-09-05T20:11:24.138074Z | client | DEBUG | Event: {'size': 119, 'timestamp': 1346875775.091024, 'basename': '1000', 'uri': 'http://localhost:8888/resources/1000', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.091024Z', 'changetype': 'CREATED', 'md5': 'Dslsuq15HB+CQTJxNiTQNw=='}
2012-09-05T20:11:24.138193Z | client | INFO | created: http://localhost:8888/resources/1001 -> /tmp/sm/resources/1001
2012-09-05T20:11:24.141117Z | client | DEBUG | Event: {'size': 500, 'timestamp': 1346875777.158496, 'basename': '1001', 'uri': 'http://localhost:8888/resources/1001', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:37.158496Z', 'changetype': 'CREATED', 'md5': 'hY/Dy6z1SRJz2F1WYfdndA=='}
2012-09-05T20:11:24.141256Z | client | INFO | created: http://localhost:8888/resources/1002 -> /tmp/sm/resources/1002
2012-09-05T20:11:24.143834Z | client | DEBUG | Event: {'size': 265, 'timestamp': 1346875779.16039, 'basename': '1002', 'uri': 'http://localhost:8888/resources/1002', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:39.160390Z', 'changetype': 'CREATED', 'md5': 'gumrNSMp2Uf0kkdKoRbM1w=='}
2012-09-05T20:11:24.143974Z | client | INFO | created: http://localhost:8888/resources/1003 -> /tmp/sm/resources/1003
2012-09-05T20:11:24.146292Z | client | DEBUG | Event: {'size': 496, 'timestamp': 1346875781.162271, 'basename': '1003', 'uri': 'http://localhost:8888/resources/1003', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:41.162271Z', 'changetype': 'CREATED', 'md5': 'j86dm8krzhUPkI2JE6Fv1A=='}
2012-09-05T20:11:24.146410Z | client | INFO | created: http://localhost:8888/resources/1004 -> /tmp/sm/resources/1004
2012-09-05T20:11:24.149330Z | client | DEBUG | Event: {'size': 472, 'timestamp': 1346875783.163767, 'basename': '1004', 'uri': 'http://localhost:8888/resources/1004', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:43.163767Z', 'changetype': 'CREATED', 'md5': 'W/LftTxjwUasH/jsJ44kyw=='}
2012-09-05T20:11:24.149467Z | client | INFO | created: http://localhost:8888/resources/1005 -> /tmp/sm/resources/1005
