2012-09-05T20:09:34.911551Z | source | INFO | Source config: {'number_of_resources': 1000, 'change_delay': 2, 'name': 'ResourceSync Simulator', 'max_events': -1, 'stats_interval': 10, 'average_payload': 1000, 'event_types': ['create', 'update', 'delete']} 
2012-09-05T20:09:34.916077Z | changememory | INFO | Changememory config: {'uri_path': 'changeset', 'class': 'DynamicChangeSet', 'max_changes': 1000} 
2012-09-05T20:09:34.916259Z | source | INFO | Bootstrapping source...
2012-09-05T20:09:34.916642Z | source | DEBUG | Event: {'size': 268, 'timestamp': 1346875774.916375, 'basename': '1', 'uri': 'http://localhost:8888/resources/1', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.916375Z', 'changetype': 'CREATED', 'md5': 'EWnIkzLKkXZSYXJQrpFHeQ=='}
2012-09-05T20:09:34.916937Z | source | DEBUG | Event: {'size': 316, 'timestamp': 1346875774.916727, 'basename': '2', 'uri': 'http://localhost:8888/resources/2', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.916727Z', 'changetype': 'CREATED', 'md5': '95P9ayIcvSzfbh3Yzydl7Q=='}
2012-09-05T20:09:34.917246Z | source | DEBUG | Event: {'size': 496, 'timestamp': 1346875774.91702, 'basename': '3', 'uri': 'http://localhost:8888/resources/3', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.917020Z', 'changetype': 'CREATED', 'md5': 'SWsAA+Kx7BZKMX6Gh4urdQ=='}
2012-09-05T20:09:34.917590Z | source | DEBUG | Event: {'size': 829, 'timestamp': 1346875774.917328, 'basename': '4', 'uri': 'http://localhost:8888/resources/4', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.917328Z', 'changetype': 'CREATED', 'md5': 'H657bw+/gCcyFoDSFQVDCw=='}
2012-09-05T20:09:34.917880Z | source | DEBUG | Event: {'size': 412, 'timestamp': 1346875774.91767, 'basename': '5', 'uri': 'http://localhost:8888/resources/5', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.917670Z', 'changetype': 'CREATED', 'md5': 'G5MiDCLRbBarmIi0++9PRA=='}
2012-09-05T20:09:34.918166Z | source | DEBUG | Event: {'size': 394, 'timestamp': 1346875774.917959, 'basename': '6', 'uri': 'http://localhost:8888/resources/6', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.917959Z', 'changetype': 'CREATED', 'md5': 'sJxSRu4rmrH3hy1O8jWM9g=='}
2012-09-05T20:09:34.918486Z | source | DEBUG | Event: {'size': 716, 'timestamp': 1346875774.918245, 'basename': '7', 'uri': 'http://localhost:8888/resources/7', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.918245Z', 'changetype': 'CREATED', 'md5': 'tlGXgvFnYecI9okBDdxWQQ=='}
2012-09-05T20:09:34.918740Z | source | DEBUG | Event: {'size': 148, 'timestamp': 1346875774.918564, 'basename': '8', 'uri': 'http://localhost:8888/resources/8', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.918564Z', 'changetype': 'CREATED', 'md5': 'dJcKZvsbTX7G/75Fb622oA=='}
2012-09-05T20:09:34.919035Z | source | DEBUG | Event: {'size': 516, 'timestamp': 1346875774.918817, 'basename': '9', 'uri': 'http://localhost:8888/resources/9', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.918817Z', 'changetype': 'CREATED', 'md5': 'ZmlXawmpTn+jc7u+GKEeLQ=='}
2012-09-05T20:09:34.919278Z | source | DEBUG | Event: {'size': 186, 'timestamp': 1346875774.919112, 'basename': '10', 'uri': 'http://localhost:8888/resources/10', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919112Z', 'changetype': 'CREATED', 'md5': 'R5Ipda4oT5+E032kwaZuqw=='}
2012-09-05T20:09:34.919538Z | source | DEBUG | Event: {'size': 458, 'timestamp': 1346875774.919355, 'basename': '11', 'uri': 'http://localhost:8888/resources/11', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919355Z', 'changetype': 'CREATED', 'md5': 'SiICnURr6FxLzCp8hGNFZw=='}
2012-09-05T20:09:34.919789Z | source | DEBUG | Event: {'size': 326, 'timestamp': 1346875774.919613, 'basename': '12', 'uri': 'http://localhost:8888/resources/12', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919613Z', 'changetype': 'CREATED', 'md5': 'L2hEOLWbAvlsKDjb1JD8+g=='}
2012-09-05T20:09:34.920026Z | source | DEBUG | Event: {'size': 69, 'timestamp': 1346875774.919867, 'basename': '13', 'uri': 'http://localhost:8888/resources/13', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919867Z', 'changetype': 'CREATED', 'md5': 'h5WHHpvoQ5EpkI9IGs1ABg=='}
2012-09-05T20:09:34.920311Z | source | DEBUG | Event: {'size': 223, 'timestamp': 1346875774.920119, 'basename': '14', 'uri': 'http://localhost:8888/resources/14', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.920119Z', 'changetype': 'CREATED', 'md5': 'CJklig7PM0k4P8QwauB8eQ=='}
2012-09-05T20:09:34.920555Z | source | DEBUG | Event: {'size': 927, 'timestamp': 1346875774.920376, 'basename': '15', 'uri': 'http://localhost:8888/resources/15', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.920376Z', 'changetype': 'CREATED', 'md5': 'sZO9ZCgjIONXOJEHy2jq5A=='}
2012-09-05T20:09:34.920787Z | source | DEBUG | Event: {'size': 784, 'timestamp': 1346875774.920618, 'basename': '16', 'uri': 'http://localhost:8888/resources/16', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.920618Z', 'changetype': 'CREATED', 'md5': 'Yj6gHGMoYkxo/f/7qXFe5Q=='}
2012-09-05T20:09:34.920996Z | source | DEBUG | Event: {'size': 297, 'timestamp': 1346875774.92085, 'basename': '17', 'uri': 'http://localhost:8888/resources/17', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.920850Z', 'changetype': 'CREATED', 'md5': '7PnFKsAHz/Ga2p9LZtAfag=='}
2012-09-05T20:09:34.921234Z | source | DEBUG | Event: {'size': 907, 'timestamp': 1346875774.921059, 'basename': '18', 'uri': 'http://localhost:8888/resources/18', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.921059Z', 'changetype': 'CREATED', 'md5': 'ek6t9IRc78mricQFSpmQMg=='}
2012-09-05T20:09:34.921444Z | source | DEBUG | Event: {'size': 358, 'timestamp': 1346875774.921297, 'basename': '19', 'uri': 'http://localhost:8888/resources/19', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.921297Z', 'changetype': 'CREATED', 'md5': 'RKRWw4BGDJ0zu2CUP/MLsQ=='}
2012-09-05T20:09:34.921653Z | source | DEBUG | Event: {'size': 289, 'timestamp': 1346875774.921508, 'basename': '20', 'uri': 'http://localhost:8888/resources/20', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.921508Z', 'changetype': 'CREATED', 'md5': 'gPg0RRcg37Q+A/NMv9lxqQ=='}
2012-09-05T20:09:34.921875Z | source | DEBUG | Event: {'size': 441, 'timestamp': 1346875774.921716, 'basename': '21', 'uri': 'http://localhost:8888/resources/21', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.921716Z', 'changetype': 'CREATED', 'md5': '4effYjA3RzXyuAVvXUeyMQ=='}
2012-09-05T20:09:34.922081Z | source | DEBUG | Event: {'size': 231, 'timestamp': 1346875774.921939, 'basename': '22', 'uri': 'http://localhost:8888/resources/22', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.921939Z', 'changetype': 'CREATED', 'md5': 'ti2oN93Dffd3c+NSF+ApqQ=='}
2012-09-05T20:09:34.922300Z | source | DEBUG | Event: {'size': 497, 'timestamp': 1346875774.922145, 'basename': '23', 'uri': 'http://localhost:8888/resources/23', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.922145Z', 'changetype': 'CREATED', 'md5': 'CBPLfJyyoeka9S3rKTi+UQ=='}
2012-09-05T20:09:34.922539Z | source | DEBUG | Event: {'size': 865, 'timestamp': 1346875774.922363, 'basename': '24', 'uri': 'http://localhost:8888/resources/24', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.922363Z', 'changetype': 'CREATED', 'md5': 'wkRogeRCFZ+EwmxxM3EA1w=='}
2012-09-05T20:09:34.922783Z | source | DEBUG | Event: {'size': 938, 'timestamp': 1346875774.922602, 'basename': '25', 'uri': 'http://localhost:8888/resources/25', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.922602Z', 'changetype': 'CREATED', 'md5': 'RGsr3wcRzI/eKS9mCVl+Qg=='}
2012-09-05T20:09:34.922974Z | source | DEBUG | Event: {'size': 626, 'timestamp': 1346875774.922845, 'basename': '26', 'uri': 'http://localhost:8888/resources/26', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.922845Z', 'changetype': 'CREATED', 'md5': 'd0hcoZH8F7vKf61P6HuCVQ=='}
2012-09-05T20:09:34.923157Z | source | DEBUG | Event: {'size': 768, 'timestamp': 1346875774.923025, 'basename': '27', 'uri': 'http://localhost:8888/resources/27', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923025Z', 'changetype': 'CREATED', 'md5': 'Zf2zVbbJCnWpwqm68MCq2g=='}
2012-09-05T20:09:34.923351Z | source | DEBUG | Event: {'size': 419, 'timestamp': 1346875774.923217, 'basename': '28', 'uri': 'http://localhost:8888/resources/28', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923217Z', 'changetype': 'CREATED', 'md5': 'f4z6KKHjyNRrdh8e+Xr80g=='}
2012-09-05T20:09:34.923523Z | source | DEBUG | Event: {'size': 169, 'timestamp': 1346875774.923405, 'basename': '29', 'uri': 'http://localhost:8888/resources/29', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923405Z', 'changetype': 'CREATED', 'md5': 'NQhtsBgMoit3Vf3GdraA8A=='}
2012-09-05T20:09:34.923710Z | source | DEBUG | Event: {'size': 854, 'timestamp': 1346875774.923574, 'basename': '30', 'uri': 'http://localhost:8888/resources/30', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923574Z', 'changetype': 'CREATED', 'md5': '1ZHOPsFYSkkrVqrxfdCHkg=='}
2012-09-05T20:09:34.923880Z | source | DEBUG | Event: {'size': 415, 'timestamp': 1346875774.92376, 'basename': '31', 'uri': 'http://localhost:8888/resources/31', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923760Z', 'changetype': 'CREATED', 'md5': 'MRC+QFxYaHRLUzLdQvawKQ=='}
2012-09-05T20:09:34.924042Z | source | DEBUG | Event: {'size': 243, 'timestamp': 1346875774.92393, 'basename': '32', 'uri': 'http://localhost:8888/resources/32', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.923930Z', 'changetype': 'CREATED', 'md5': 'mEjjvS656JyKlE12kgwD/A=='}
2012-09-05T20:09:34.924204Z | source | DEBUG | Event: {'size': 207, 'timestamp': 1346875774.924093, 'basename': '33', 'uri': 'http://localhost:8888/resources/33', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924093Z', 'changetype': 'CREATED', 'md5': 'oVmsy3UkefTtq0pA5Q/Gwg=='}
2012-09-05T20:09:34.924356Z | source | DEBUG | Event: {'size': 42, 'timestamp': 1346875774.924254, 'basename': '34', 'uri': 'http://localhost:8888/resources/34', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924254Z', 'changetype': 'CREATED', 'md5': 'HcPQe5+ZuSpsd/6LEiLyLQ=='}
2012-09-05T20:09:34.924548Z | source | DEBUG | Event: {'size': 985, 'timestamp': 1346875774.924406, 'basename': '35', 'uri': 'http://localhost:8888/resources/35', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924406Z', 'changetype': 'CREATED', 'md5': '9pbVb47n+ybRPmkKYXJtyw=='}
2012-09-05T20:09:34.924707Z | source | DEBUG | Event: {'size': 172, 'timestamp': 1346875774.924599, 'basename': '36', 'uri': 'http://localhost:8888/resources/36', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924599Z', 'changetype': 'CREATED', 'md5': 'e9BBneAKQx1A89f8PV37cQ=='}
2012-09-05T20:09:34.924884Z | source | DEBUG | Event: {'size': 638, 'timestamp': 1346875774.924757, 'basename': '37', 'uri': 'http://localhost:8888/resources/37', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924757Z', 'changetype': 'CREATED', 'md5': 'H0SV1fkzBueaW5mUUuquOw=='}
2012-09-05T20:09:34.925056Z | source | DEBUG | Event: {'size': 477, 'timestamp': 1346875774.924934, 'basename': '38', 'uri': 'http://localhost:8888/resources/38', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.924934Z', 'changetype': 'CREATED', 'md5': 'LRhmMjEgABWIvHin5dflcQ=='}
