2012-08-31T17:01:43.828606Z | source | INFO | Source config: {'number_of_resources': 1000, 'change_delay': 2, 'name': 'ResourceSync Simulator', 'max_events': -1, 'stats_interval': 10, 'average_payload': 1000, 'event_types': ['create', 'update', 'delete']} 
2012-08-31T17:01:43.829131Z | changememory | INFO | Changememory config: {'uri_path': 'changeset', 'class': 'DynamicChangeSet', 'max_changes': 1000} 
2012-08-31T17:01:43.829234Z | source | INFO | Bootstrapping source...
2012-08-31T17:01:43.829616Z | source | DEBUG | Event: {'size': 937, 'timestamp': 1346432503.829319, 'basename': '1', 'uri': 'http://localhost:8888/resources/1', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.829319Z', 'changetype': 'CREATED', 'md5': 'XGm9G003FhR2BQd7qb6KHA=='}
2012-08-31T17:01:43.829979Z | source | DEBUG | Event: {'size': 889, 'timestamp': 1346432503.829687, 'basename': '2', 'uri': 'http://localhost:8888/resources/2', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.829687Z', 'changetype': 'CREATED', 'md5': 'iyvg8OI6cRoUOifTJ5YedA=='}
2012-08-31T17:01:43.830206Z | source | DEBUG | Event: {'size': 34, 'timestamp': 1346432503.830056, 'basename': '3', 'uri': 'http://localhost:8888/resources/3', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.830056Z', 'changetype': 'CREATED', 'md5': 'xCz9tPwebfHztNT0xuIxlg=='}
2012-08-31T17:01:43.830483Z | source | DEBUG | Event: {'size': 614, 'timestamp': 1346432503.830279, 'basename': '4', 'uri': 'http://localhost:8888/resources/4', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.830279Z', 'changetype': 'CREATED', 'md5': 'kHAySMqTRlucvCRJ8Ka41w=='}
2012-08-31T17:01:43.830752Z | source | DEBUG | Event: {'size': 580, 'timestamp': 1346432503.830554, 'basename': '5', 'uri': 'http://localhost:8888/resources/5', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.830554Z', 'changetype': 'CREATED', 'md5': 't3wh0rLt/f+BK47+E8+e+A=='}
2012-08-31T17:01:43.830997Z | source | DEBUG | Event: {'size': 292, 'timestamp': 1346432503.830823, 'basename': '6', 'uri': 'http://localhost:8888/resources/6', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.830823Z', 'changetype': 'CREATED', 'md5': '79v5vHfGdUcLYS0JXQ2HWg=='}
2012-08-31T17:01:43.831255Z | source | DEBUG | Event: {'size': 447, 'timestamp': 1346432503.831069, 'basename': '7', 'uri': 'http://localhost:8888/resources/7', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.831069Z', 'changetype': 'CREATED', 'md5': '+dl9jWwNiU3pVAYIKbx4zw=='}
2012-08-31T17:01:43.831496Z | source | DEBUG | Event: {'size': 271, 'timestamp': 1346432503.831325, 'basename': '8', 'uri': 'http://localhost:8888/resources/8', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.831325Z', 'changetype': 'CREATED', 'md5': 'yivpnvn5h0nEipWHkPEkgQ=='}
2012-08-31T17:01:43.831739Z | source | DEBUG | Event: {'size': 285, 'timestamp': 1346432503.831567, 'basename': '9', 'uri': 'http://localhost:8888/resources/9', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:43.831567Z', 'changetype': 'CREATED', 'md5': 'MdPvVUsRvCqIs1DtpHInOQ=='}
